fold,regime,condition,model,auc,macro_f1,recall_0,accuracy
2,unseen_reader,early_bc,LR,0.4721175203607727,0.15839694656488548,1.0,0.18820861678004536
2,unseen_reader,early_bc,RF,0.49491822036750355,0.44806007509386736,0.0,0.8117913832199547
2,unseen_reader,early_bc,XGB,0.47166318906912563,0.493307290170621,0.27710843373493976,0.63718820861678
2,unseen_reader,late,LR,0.4840142693679747,0.38253638253638256,0.6024096385542169,0.4013605442176871
2,unseen_reader,late,RF,0.5351139193646093,0.4572074650790016,0.012048192771084338,0.8049886621315193
2,unseen_reader,late,XGB,0.49775358416907856,0.486280882082913,0.19879518072289157,0.6655328798185941
2,unseen_reader,late_bc,LR,0.4964999663458302,0.4646370452256535,0.024096385542168676,0.7970521541950113
2,unseen_reader,late_bc,RF,0.5041142222521371,0.44806007509386736,0.0,0.8117913832199547
2,unseen_reader,late_bc,XGB,0.46856279868075656,0.4743926806183616,0.05421686746987952,0.7687074829931972
2,unseen_reader,combined,LR,0.47157064010230865,0.4435156081223183,0.4819277108433735,0.5
2,unseen_reader,combined,RF,0.5154136097462476,0.4477144646211647,0.0,0.8106575963718821
2,unseen_reader,combined,XGB,0.47784714276098805,0.503072026056703,0.20481927710843373,0.6893424036281179
2,unseen_reader,combined_bc,LR,0.4847041798478831,0.15839694656488548,1.0,0.18820861678004536
2,unseen_reader,combined_bc,RF,0.4517188867200646,0.44806007509386736,0.0,0.8117913832199547
2,unseen_reader,combined_bc,XGB,0.5324762738103251,0.5187621606596868,0.13855421686746988,0.7596371882086168
2,unseen_reader,combined_ling,LR,0.5548899508649121,0.47799255309368394,0.5542168674698795,0.5328798185941043
2,unseen_reader,combined_ling,RF,0.5605522649256243,0.4543286626496537,0.006024096385542169,0.8129251700680272
2,unseen_reader,combined_ling,XGB,0.5778000269233358,0.5317203996449279,0.24096385542168675,0.7131519274376418
2,unseen_reader,combined_ling_bc,LR,0.5676028134885912,0.15839694656488548,1.0,0.18820861678004536
2,unseen_reader,combined_ling_bc,RF,0.5214671535303224,0.44806007509386736,0.0,0.8117913832199547
2,unseen_reader,combined_ling_bc,XGB,0.541726963720805,0.4559681370389299,0.012048192771084338,0.8015873015873016
2,unseen_text,text_only,LR,0.6035358859745298,0.524260848722598,0.5563380281690141,0.6037037037037037
2,unseen_text,text_only,RF,0.6348148772876782,0.5680265045684513,0.3591549295774648,0.7209876543209877
2,unseen_text,text_only,XGB,0.5871742430631695,0.5095194281265483,0.4154929577464789,0.6197530864197531
2,unseen_text,majority,majority,0.5,0.4519621109607578,0.0,0.8246913580246914
2,unseen_text,random,random,0.5045858986252847,0.5036604637662464,0.2112676056338028,0.6950617283950618
2,unseen_text,early,LR,0.5677237075145485,0.511855921006884,0.44366197183098594,0.6148148148148148
2,unseen_text,early,RF,0.5332662140507717,0.45047489823609227,0.0,0.8197530864197531
2,unseen_text,early,XGB,0.5189445053554862,0.5161244441073003,0.2605633802816901,0.6888888888888889
2,unseen_text,early_bc,LR,0.5822404486801045,0.31324110671936756,0.8309859154929577,0.3135802469135803
2,unseen_text,early_bc,RF,0.5222231593151724,0.4519621109607578,0.0,0.8246913580246914
2,unseen_text,early_bc,XGB,0.4877603947035506,0.4635809273218603,0.20422535211267606,0.6320987654320988
2,unseen_text,late,LR,0.5571603272328582,0.45016722408026755,0.6126760563380281,0.4925925925925926
