fold,regime,ablation,auc,macro_f1,recall_0,accuracy
5,unseen_reader,no_first_fixation,0.5380172413793103,0.4480840543881335,0.0,0.8118701007838746
5,unseen_reader,no_paragraph_rt,0.5129351395730706,0.4480840543881335,0.0,0.8118701007838746
5,unseen_reader,no_late,0.49397372742200324,0.4480840543881335,0.0,0.8118701007838746
5,unseen_reader,no_early,0.5330008210180623,0.44774273345701915,0.0,0.8107502799552072
5,unseen_text,combined_full,0.4509948467360321,0.4519906323185012,0.0,0.8247863247863247
5,unseen_text,no_regression,0.48914585000772287,0.4515625,0.0,0.8233618233618234
5,unseen_text,no_first_fixation,0.46818877515200025,0.4519906323185012,0.0,0.8247863247863247
5,unseen_text,no_paragraph_rt,0.47518148756617096,0.4519906323185012,0.0,0.8247863247863247
5,unseen_text,no_late,0.5019658227670359,0.4519906323185012,0.0,0.8247863247863247
5,unseen_text,no_early,0.4633725093727621,0.4519906323185012,0.0,0.8247863247863247
5,unseen_both,combined_full,0.4362068965517242,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_regression,0.5258620689655172,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_first_fixation,0.6081896551724139,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_paragraph_rt,0.5176724137931035,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_late,0.5133620689655173,0.4264705882352941,0.0,0.7435897435897436
5,unseen_both,no_early,0.5728448275862069,0.4264705882352941,0.0,0.7435897435897436
6,unseen_reader,combined_full,0.5387286728068851,0.44353312302839115,0.0,0.7970521541950113
6,unseen_reader,no_regression,0.5318189403752474,0.4431818181818182,0.0,0.7959183673469388
6,unseen_reader,no_first_fixation,0.5573281308359226,0.44936868686868686,0.00558659217877095,0.7981859410430839
6,unseen_reader,no_paragraph_rt,0.5316123238793042,0.4431818181818182,0.0,0.7959183673469388
6,unseen_reader,no_late,0.5159571509174566,0.44353312302839115,0.0,0.7970521541950113
6,unseen_reader,no_early,0.5085348506401138,0.44353312302839115,0.0,0.7970521541950113
6,unseen_text,combined_full,0.4820786831150852,0.44406314344543585,0.0,0.7987654320987654
6,unseen_text,no_regression,0.5039208807047155,0.44406314344543585,0.0,0.7987654320987654
6,unseen_text,no_first_fixation,0.5017589440646305,0.44329896907216493,0.0,0.7962962962962963
6,unseen_text,no_paragraph_rt,0.5020576326793792,0.44406314344543585,0.0,0.7987654320987654
6,unseen_text,no_late,0.513483657465793,0.44406314344543585,0.0,0.7987654320987654
6,unseen_text,no_early,0.5515830496581675,0.44368131868131866,0.0,0.7975308641975308
6,unseen_both,combined_full,0.5828571428571429,0.4375,0.0,0.7777777777777778
6,unseen_both,no_regression,0.5825,0.4375,0.0,0.7777777777777778
6,unseen_both,no_first_fixation,0.6492857142857144,0.4375,0.0,0.7777777777777778
6,unseen_both,no_paragraph_rt,0.5989285714285715,0.4375,0.0,0.7777777777777778
6,unseen_both,no_late,0.5482142857142858,0.4375,0.0,0.7777777777777778
6,unseen_both,no_early,0.5342857142857143,0.4375,0.0,0.7777777777777778
7,unseen_reader,combined_full,0.5508208839091192,0.44402985074626866,0.0,0.7986577181208053
7,unseen_reader,no_regression,0.5329948646125118,0.44368388301182327,0.0,0.7975391498881432
7,unseen_reader,no_first_fixation,0.514620292561469,0.44402985074626866,0.0,0.7986577181208053
7,unseen_reader,no_paragraph_rt,0.5382858699035169,0.44945465493410697,0.005555555555555556,0.7986577181208053
7,unseen_reader,no_late,0.5262799564270153,0.44368388301182327,0.0,0.7975391498881432
7,unseen_reader,no_early,0.517985527544351,0.44402985074626866,0.0,0.7986577181208053
7,unseen_text,combined_full,0.5233612190728979,0.4384,0.0,0.7806267806267806
7,unseen_text,no_regression,0.5351218124940753,0.4375,0.0,0.7777777777777778
7,unseen_text,no_first_fixation,0.4986313868613138,0.4384,0.0,0.7806267806267806
7,unseen_text,no_paragraph_rt,0.5286105318039626,0.4379503602882306,0.0,0.7792022792022792
7,unseen_text,no_late,0.5445125130344108,0.4375,0.0,0.7777777777777778
7,unseen_text,no_early,0.487581761304389,0.4452026137038663,0.006493506493506494,0.782051282051282
7,unseen_both,combined_full,0.4388888888888889,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_regression,0.4657407407407408,0.43478260869565216,0.0,0.7692307692307693
